,sample,iteration,entropy,pLDDT
0,000000,1,0.70458984375,0.7544
1,000000,2,0.7109375,0.751
2,000000,3,0.6767578125,0.7568
3,000000,4,0.6748046875,0.7495
4,000000,5,0.66455078125,0.7578
5,000000,6,0.6376953125,0.7617
6,000000,7,0.619140625,0.752
7,000000,8,0.62109375,0.7588
8,000000,9,0.59375,0.7583
9,000000,10,0.56005859375,0.7578
10,000000,11,0.4794921875,0.7646
11,000000,12,0.315673828125,0.8359
12,000000,13,0.30517578125,0.8643
13,000000,14,0.2271728515625,0.8887
14,000000,15,0.1942138671875,0.8828
15,000000,16,0.1934814453125,0.8857
16,000000,17,0.215576171875,0.894
17,000000,18,0.16015625,0.8921
18,000000,19,0.241943359375,0.8921
19,000000,20,0.424560546875,0.8901
20,000000,21,0.418212890625,0.8901
21,000000,22,0.64306640625,0.8872
22,000000,23,0.5361328125,0.8809
23,000000,24,0.7060546875,0.8853
24,000000,25,0.8681640625,0.8818
25,000001,1,0.87841796875,0.7139
26,000001,2,0.87939453125,0.7134
27,000001,3,0.837890625,0.7139
28,000001,4,0.82763671875,0.7104
29,000001,5,0.8310546875,0.7114
30,000001,6,0.76611328125,0.708
31,000001,7,0.71240234375,0.7114
32,000001,8,0.6904296875,0.7109
33,000001,9,0.662109375,0.7202
34,000001,10,0.6318359375,0.7085
35,000001,11,0.5400390625,0.7314
36,000001,12,0.52734375,0.7217
37,000001,13,0.44287109375,0.7495
38,000001,14,0.39501953125,0.8159
39,000001,15,0.336669921875,0.8506
40,000001,16,0.271728515625,0.856
41,000001,17,0.259033203125,0.8584
42,000001,18,0.239501953125,0.8525
43,000001,19,0.355224609375,0.8359
44,000001,20,0.335205078125,0.8652
45,000001,21,0.371337890625,0.876
46,000001,22,0.64599609375,0.8672
47,000001,23,0.73486328125,0.8491
48,000001,24,0.82568359375,0.855
49,000001,25,1.119140625,0.8657
50,000002,1,1.0302734375,0.7075
51,000002,2,1.0361328125,0.6831
52,000002,3,1.0,0.6797
53,000002,4,0.96826171875,0.6802
54,000002,5,0.9794921875,0.6753
55,000002,6,0.90185546875,0.6772
56,000002,7,0.91748046875,0.6738
57,000002,8,0.88134765625,0.6792
58,000002,9,0.716796875,0.6895
59,000002,10,0.71240234375,0.7002
60,000002,11,0.57763671875,0.8018
61,000002,12,0.50390625,0.834
62,000002,13,0.420166015625,0.8682
63,000002,14,0.34228515625,0.8965
64,000002,15,0.2288818359375,0.9072
65,000002,16,0.2227783203125,0.9229
66,000002,17,0.2127685546875,0.9019
67,000002,18,0.244140625,0.9121
68,000002,19,0.297607421875,0.9033
69,000002,20,0.1705322265625,0.9058
70,000002,21,0.5439453125,0.9048
71,000002,22,0.45654296875,0.9004
72,000002,23,0.64111328125,0.8892
73,000002,24,0.859375,0.8794
74,000002,25,0.84228515625,0.8979
75,000003,1,0.5703125,0.8032
76,000003,2,0.57958984375,0.7969
77,000003,3,0.5419921875,0.7881
78,000003,4,0.54296875,0.79
79,000003,5,0.50537109375,0.7944
80,000003,6,0.50439453125,0.7944
81,000003,7,0.4560546875,0.7944
82,000003,8,0.438720703125,0.8018
83,000003,9,0.415771484375,0.814
84,000003,10,0.3994140625,0.8257
85,000003,11,0.364013671875,0.8193
86,000003,12,0.333740234375,0.8184
87,000003,13,0.299072265625,0.8501
88,000003,14,0.243896484375,0.8735
89,000003,15,0.1759033203125,0.8926
90,000003,16,0.1417236328125,0.8955
91,000003,17,0.182861328125,0.8965
92,000003,18,0.12200927734375,0.9004
93,000003,19,0.1859130859375,0.9014
94,000003,20,0.51318359375,0.8877
95,000003,21,0.34228515625,0.8984
96,000003,22,0.58837890625,0.8921
97,000003,23,0.43505859375,0.8955
98,000003,24,0.65478515625,0.9067
99,000003,25,0.798828125,0.9004
100,000004,1,0.62890625,0.7754
101,000004,2,0.6318359375,0.7773
102,000004,3,0.61669921875,0.7695
103,000004,4,0.60888671875,0.7788
104,000004,5,0.5859375,0.7754
105,000004,6,0.58056640625,0.7705
106,000004,7,0.578125,0.7715
107,000004,8,0.529296875,0.7822
108,000004,9,0.48583984375,0.7759
109,000004,10,0.411865234375,0.7812
110,000004,11,0.35595703125,0.7798
111,000004,12,0.359130859375,0.7817
112,000004,13,0.32861328125,0.7837
113,000004,14,0.322998046875,0.7925
114,000004,15,0.27783203125,0.7974
115,000004,16,0.204833984375,0.8071
116,000004,17,0.1519775390625,0.7983
117,000004,18,0.1702880859375,0.8125
118,000004,19,0.2000732421875,0.8252
119,000004,20,0.323974609375,0.8228
120,000004,21,0.3388671875,0.8237
121,000004,22,0.468017578125,0.8008
122,000004,23,0.81689453125,0.8062
123,000004,24,0.81591796875,0.8247
124,000004,25,1.06640625,0.7949
125,000005,1,0.57666015625,0.8037
126,000005,2,0.58544921875,0.7959
127,000005,3,0.5498046875,0.7905
128,000005,4,0.560546875,0.792
129,000005,5,0.55224609375,0.7896
130,000005,6,0.5126953125,0.7959
131,000005,7,0.54443359375,0.7925
132,000005,8,0.479736328125,0.7925
133,000005,9,0.462158203125,0.7876
134,000005,10,0.419677734375,0.7896
135,000005,11,0.45751953125,0.7915
136,000005,12,0.484619140625,0.7954
137,000005,13,0.41552734375,0.7969
138,000005,14,0.273681640625,0.7993
139,000005,15,0.2301025390625,0.8154
140,000005,16,0.2208251953125,0.8218
141,000005,17,0.164794921875,0.877
142,000005,18,0.2235107421875,0.8896
143,000005,19,0.1661376953125,0.8872
144,000005,20,0.32568359375,0.8896
145,000005,21,0.48193359375,0.8872
146,000005,22,0.666015625,0.8887
147,000005,23,0.64892578125,0.8994
148,000005,24,0.68359375,0.8965
149,000005,25,0.90087890625,0.8892
150,000006,1,0.798828125,0.7793
151,000006,2,0.7919921875,0.7544
152,000006,3,0.77734375,0.7393
153,000006,4,0.8017578125,0.7305
154,000006,5,0.7412109375,0.7271
155,000006,6,0.72265625,0.7246
156,000006,7,0.76171875,0.7212
157,000006,8,0.736328125,0.7246
158,000006,9,0.69140625,0.7251
159,000006,10,0.68798828125,0.731
160,000006,11,0.587890625,0.7227
161,000006,12,0.497802734375,0.7261
162,000006,13,0.488525390625,0.7324
163,000006,14,0.361328125,0.7358
164,000006,15,0.291748046875,0.7739
165,000006,16,0.2255859375,0.7876
166,000006,17,0.2330322265625,0.7896
167,000006,18,0.1900634765625,0.8145
168,000006,19,0.28955078125,0.8135
169,000006,20,0.393798828125,0.8159
170,000006,21,0.435302734375,0.8047
171,000006,22,0.70166015625,0.8125
172,000006,23,0.6689453125,0.8145
173,000006,24,0.71728515625,0.8149
174,000006,25,0.6201171875,0.8091
175,000007,1,0.5810546875,0.8384
176,000007,2,0.578125,0.8193
177,000007,3,0.5771484375,0.7974
178,000007,4,0.57666015625,0.7944
179,000007,5,0.56005859375,0.7866
180,000007,6,0.58154296875,0.7861
181,000007,7,0.51953125,0.7852
182,000007,8,0.48583984375,0.7817
183,000007,9,0.486572265625,0.7871
184,000007,10,0.433837890625,0.7832
185,000007,11,0.408935546875,0.7866
186,000007,12,0.432373046875,0.7856
187,000007,13,0.34619140625,0.79
188,000007,14,0.29541015625,0.7959
189,000007,15,0.25732421875,0.7964
190,000007,16,0.189697265625,0.8105
191,000007,17,0.166015625,0.8315
192,000007,18,0.140380859375,0.8438
193,000007,19,0.2156982421875,0.8442
194,000007,20,0.2337646484375,0.8379
195,000007,21,0.349609375,0.8447
196,000007,22,0.483642578125,0.8457
197,000007,23,0.79443359375,0.8403
198,000007,24,0.7421875,0.8384
199,000007,25,0.8916015625,0.8389
200,000008,1,1.11328125,0.6704
201,000008,2,1.1328125,0.6514
202,000008,3,1.0908203125,0.6465
203,000008,4,1.0712890625,0.6479
204,000008,5,1.05078125,0.6514
205,000008,6,1.005859375,0.6514
206,000008,7,0.958984375,0.6523
207,000008,8,0.93798828125,0.6558
208,000008,9,0.91259765625,0.6597
209,000008,10,0.83349609375,0.6636
210,000008,11,0.68896484375,0.6753
211,000008,12,0.60791015625,0.7251
212,000008,13,0.572265625,0.6948
213,000008,14,0.400634765625,0.7266
214,000008,15,0.3515625,0.771
215,000008,16,0.282470703125,0.7559
216,000008,17,0.260498046875,0.7031
217,000008,18,0.267333984375,0.7324
218,000008,19,0.489013671875,0.7295
219,000008,20,0.3056640625,0.7446
220,000008,21,0.556640625,0.7651
221,000008,22,0.66650390625,0.7524
222,000008,23,0.82958984375,0.75
223,000008,24,0.87158203125,0.6987
